frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
11,1.0,[65.32439947737797 310.05561622546384 499.35114849561046 639.7640785746903],[240.1976776123047 464.4195556640625 350.0302734375 520.7290649414062],0.7369514107704163,1AV9378,0.07355502478931007
208,40.0,[3.7144644485543665 315.3660235260961 370.04537887621905 694.0223845903677],[4.0801849365234375 487.365966796875 104.30726623535156 554.2299194335938],0.7347858548164368,1NJ2699,0.7376078641137902
210,40.0,[0.644499471988695 315.8369366527567 368.55034445508346 696.740717344974],[2.390361785888672 486.45428466796875 119.04598236083984 554.52978515625],0.7531229257583618,9NJ2699,0.7090399078283196
211,40.0,[0.8263005438077471 315.77077408218315 370.25297737202396 698.3554662530939],[7.708282470703125 487.3619384765625 127.63056182861328 556.18798828125],0.7665996551513672,9NJ2699,0.4433338671209873
212,40.0,[0.9639793493345792 314.5948261892394 372.21517208466764 697.0961694357752],[13.446590423583984 485.3233337402344 135.27078247070312 556.8153686523438],0.7714205980300903,9NJ2699,0.5871279314297232
213,40.0,[1.922348132802199 314.43321558993085 376.1115414411041 697.2073102177119],[17.561382293701172 483.17926025390625 143.348876953125 556.6673583984375],0.7999228835105896,9NJ2699,0.4749631473159664
215,40.0,[3.500382264743621 314.08071874115865 386.012874936159 697.4775281388964],[33.2347526550293 484.3721008300781 161.59877014160156 556.2506103515625],0.7559887170791626,9OJ2699,0.5105541091440685
217,40.0,[4.8937398382767014 312.54189150598194 398.04731176512 697.810125041088],[46.39107894897461 483.1329345703125 171.82582092285156 552.2786865234375],0.771736204624176,9NJ2699,0.28698342052255355
221,40.0,[6.9758480674207135 305.96125882580054 426.0500444935263 693.9585757942583],[71.94232177734375 478.7811584472656 203.7242431640625 549.4838256835938],0.750132143497467,9NJ2699,0.47093463030930444
232,40.0,[7.102223638178941 298.7508149965091 505.7246618689516 709.576873548168],[146.51832580566406 479.2803039550781 278.1213684082031 546.2102661132812],0.7982770204544067,9NJ2699,0.8080615081070333
235,40.0,[6.321426097448409 294.8805378659953 523.1629970496347 708.4157377993254],[167.62257385253906 476.58123779296875 298.88104248046875 545.5361938476562],0.7820345163345337,9OJ2699,0.7491523602663739
239,40.0,[3.7445863064955915 289.2482194638526 535.601910315873 706.1448170585393],[184.02420043945312 473.5437316894531 314.0390625 542.9563598632812],0.7910420894622803,9NJ2699,0.47132946674592535
241,40.0,[3.256133132382786 285.0193444514467 538.066087284943 704.3111504052816],[187.33419799804688 470.4895935058594 323.484130859375 542.111083984375],0.7663712501525879,9NJ2699,0.3612964989246657
243,40.0,[5.001854539194369 282.6395708576304 541.622790097611 702.5181108774098],[193.58335876464844 469.048828125 331.16412353515625 541.6697387695312],0.7546899914741516,9IJ2699,0.5529214083645261
